prefix,resource,entry-number,organisation,reference,entity,start-date,end-date,entry-date,endpoint
brownfield-site,,,local-authority-eng:HRY,HGY/2008/1839,1800397,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0015,1800398,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1702,1800399,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3562,1800400,,,,
brownfield-site,,,local-authority-eng:WSM,17/02405/FULL,1800401,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4611A,1800402,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR027,1800403,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2427,1800404,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR040,1800405,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/0710,1800406,,,,
brownfield-site,,,local-authority-eng:HIL,26315/APP/2015/929,1800407,,,,
brownfield-site,,,local-authority-eng:LEW,BK007,1800408,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5225,1800409,,,,
brownfield-site,,,local-authority-eng:BEN,BR00116,1800410,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/0437,1800411,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0214,1800412,,,,
brownfield-site,,,local-authority-eng:LBH,BLR024,1800413,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/1591,1800414,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0711,1800415,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4414,1800416,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010008993409,1800417,,,,
brownfield-site,,,local-authority-eng:EAL,172705FUL,1800418,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0756,1800419,,,,
brownfield-site,,,local-authority-eng:MRT,16/P2965,1800420,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC008,1800421,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR043,1800422,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0011,1800423,,,,
brownfield-site,,,local-authority-eng:BRY,BLR43,1800424,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4290,1800425,,,,
brownfield-site,,,local-authority-eng:BEN,BR00102,1800426,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4160,1800427,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3338,1800428,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR092,1800429,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1089,1800430,,,,
brownfield-site,,,local-authority-eng:LEW,LC008,1800431,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/0900,1800432,,,,
brownfield-site,,,local-authority-eng:HRW,P/2212/15,1800433,,,,
brownfield-site,,,local-authority-eng:LEW,BR003,1800434,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3842,1800435,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4711,1800436,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0929,1800437,,,,
brownfield-site,,,local-authority-eng:ISL,P2012/0630/FUL,1800438,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1958,1800439,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0132,1800440,,,,
brownfield-site,,,local-authority-eng:BNE,17/2709/FUL,1800441,,,,
brownfield-site,,,local-authority-eng:WFT,162742,1800442,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR030,1800443,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/3174,1800444,,,,
brownfield-site,,,local-authority-eng:WSM,16/12156/FULL,1800445,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR034,1800446,,,,
brownfield-site,,,local-authority-eng:HRW,P/3644/16,1800447,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1754,1800448,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4434,1800449,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4837,1800450,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0024,1800451,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4042,1800452,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3270,1800453,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/0090,1800454,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-53,1800455,,,,
brownfield-site,,,local-authority-eng:HRW,P/4011/14,1800456,,,,
brownfield-site,,,local-authority-eng:ISL,P2016/2646/FUL,1800457,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR094,1800458,,,,
brownfield-site,,,local-authority-eng:LEW,BR005,1800459,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR025,1800460,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0627,1800461,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/3004,1800462,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1514,1800463,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3154,1800464,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4945,1800465,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10008983303,1800466,,,,
brownfield-site,,,local-authority-eng:BRY,BLR55,1800467,,,,
brownfield-site,,,local-authority-eng:KEC,17200067,1800468,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0112,1800469,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC012,1800470,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4644,1800471,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4079,1800472,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4085,1800473,,,,
brownfield-site,,,local-authority-eng:WFT,171712,1800474,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR036,1800475,,,,
brownfield-site,,,local-authority-eng:ISL,P2013/0930/FUL,1800476,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4004,1800477,,,,
brownfield-site,,,local-authority-eng:ISL,P2015/5027/FUL,1800478,,,,
brownfield-site,,,local-authority-eng:BRY,BLR58,1800479,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4850,1800480,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2367,1800481,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR074,1800482,,,,
brownfield-site,,,local-authority-eng:BEN,BR00114,1800483,,,,
brownfield-site,,,local-authority-eng:LEW,SD007,1800484,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010008995449,1800485,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-56,1800486,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4313,1800487,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-3079,1800488,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0017,1800489,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010034508055,1800490,,,,
brownfield-site,,,local-authority-eng:MRT,08/P0258,1800491,,,,
brownfield-site,,,local-authority-eng:LBH,BLR044,1800492,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR090,1800493,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4102,1800494,,,,
brownfield-site,,,local-authority-eng:BNE,17/2058/FUL,1800495,,,,
brownfield-site,,,local-authority-eng:MRT,16/P3815,1800496,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0019,1800497,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0033,1800498,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1110,1800499,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0667,1800500,,,,
brownfield-site,,,local-authority-eng:LEW,SD012,1800501,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-42,1800502,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0054,1800503,,,,
brownfield-site,,,local-authority-eng:WSM,15/02851/FULL,1800504,,,,
brownfield-site,,,local-authority-eng:EAL,171543FUL,1800505,,,,
brownfield-site,,,local-authority-eng:BEN,BR00037,1800506,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0008,1800507,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD20,1800508,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1996,1800509,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0174,1800510,,,,
brownfield-site,,,local-authority-eng:HRW,P/4168/14,1800511,,,,
brownfield-site,,,local-authority-eng:BNE,15/01294/PNO,1800512,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0025,1800513,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR049,1800514,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010008996220,1800515,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2009/0893,1800516,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3523,1800517,,,,
brownfield-site,,,local-authority-eng:BRY,BLR31,1800518,,,,
brownfield-site,,,local-authority-eng:ISL,P2016/4973/FUL,1800519,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5012,1800520,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD37,1800521,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/4156,1800522,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0016,1800523,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/1884,1800524,,,,
brownfield-site,,,local-authority-eng:HRW,P/5592/16,1800525,,,,
brownfield-site,,,local-authority-eng:LEW,LC023,1800526,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1971,1800527,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR077,1800528,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0063,1800529,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR060,1800530,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:46251374,1800531,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0138,1800532,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4823,1800533,,,,
brownfield-site,,,local-authority-eng:BNE,H/02551/14,1800534,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/1677,1800535,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR038,1800536,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0004,1800537,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR045,1800538,,,,
brownfield-site,,,local-authority-eng:BEN,BR00003,1800539,,,,
brownfield-site,,,local-authority-eng:ISL,P2015/2584/FUL,1800540,,,,
brownfield-site,,,local-authority-eng:LEW,PV006,1800541,,,,
brownfield-site,,,local-authority-eng:ISL,P2012/0450/FUL,1800542,,,,
brownfield-site,,,local-authority-eng:LBH,BLR043,1800543,,,,
brownfield-site,,,local-authority-eng:HIL,12504/APP/2016/4179,1800544,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1213,1800545,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0034,1800546,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0120,1800547,,,,
brownfield-site,,,local-authority-eng:ISL,P2015/2834/FUL,1800548,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR058,1800549,,,,
brownfield-site,,,local-authority-eng:MRT,15/P2313,1800550,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR062,1800551,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0195,1800552,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0934,1800553,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2796,1800554,,,,
brownfield-site,,,local-authority-eng:ISL,P2014/0781/FUL,1800555,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0026,1800556,,,,
brownfield-site,,,local-authority-eng:HRW,P/1484/16,1800557,,,,
brownfield-site,,,local-authority-eng:SWK,13-AP-1996,1800558,,,,
brownfield-site,,,local-authority-eng:EAL,171130PAOR,1800559,,,,
brownfield-site,,,local-authority-eng:BNE,15/02178/PNO,1800560,,,,
brownfield-site,,,local-authority-eng:LEW,SD009,1800561,,,,
brownfield-site,,,local-authority-eng:BRY,BLR25,1800562,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4554,1800563,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3156,1800564,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0079,1800565,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:46255056,1800566,,,,
brownfield-site,,,local-authority-eng:HRW,Site Allocations H2,1800567,,,,
brownfield-site,,,local-authority-eng:BRY,BLR57,1800568,,,,
brownfield-site,,,local-authority-eng:ISL,P080382,1800569,,,,
brownfield-site,,,local-authority-eng:ISL,P110118,1800570,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4057,1800571,,,,
brownfield-site,,,local-authority-eng:LEW,PV005,1800572,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-36,1800573,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-73,1800574,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/3504,1800575,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR080,1800576,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3659,1800577,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3892,1800578,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1715,1800579,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/1638,1800580,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/2882,1800581,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/2946,1800582,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC020,1800583,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3848,1800584,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-66,1800585,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0664,1800586,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/1007,1800587,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0001,1800588,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/0075,1800589,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0116,1800590,,,,
brownfield-site,,,local-authority-eng:BNE,B/04142/14,1800591,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3958,1800592,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010008997811,1800593,,,,
brownfield-site,,,local-authority-eng:LEW,NX017,1800594,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/3984,1800595,,,,
brownfield-site,,,local-authority-eng:BEN,BR00096,1800596,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC037,1800597,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4473,1800598,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC024,1800599,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2818,1800600,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0006,1800601,,,,
brownfield-site,,,local-authority-eng:WSM,14/10572/FULL,1800602,,,,
brownfield-site,,,local-authority-eng:BRY,BLR37,1800603,,,,
brownfield-site,,,local-authority-eng:HRW,P/5994/16,1800604,,,,
brownfield-site,,,local-authority-eng:LEW,LC024,1800605,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4136,1800606,,,,
brownfield-site,,,local-authority-eng:LEW,BK010,1800607,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0062,1800608,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1153,1800609,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0054,1800610,,,,
brownfield-site,,,local-authority-eng:HRW,P/2427/13,1800611,,,,
brownfield-site,,,local-authority-eng:WSM,16/01573/FULL,1800612,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:46037025,1800613,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR055,1800614,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0028,1800615,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0022,1800616,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0102,1800617,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-16,1800618,,,,
brownfield-site,,,local-authority-eng:HRW,P/2905/16,1800619,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0059,1800620,,,,
brownfield-site,,,local-authority-eng:LEW,EV013,1800621,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2008/1340,1800622,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-2694,1800623,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0137,1800624,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1598,1800625,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3489,1800626,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/3208,1800627,,,,
brownfield-site,,,local-authority-eng:BNE,F/04402/09,1800628,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0455,1800629,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0134,1800630,,,,
brownfield-site,,,local-authority-eng:HRW,P/1679/14,1800631,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2011/0655,1800632,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2017/0641,1800633,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1486,1800634,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10008994946,1800635,,,,
brownfield-site,,,local-authority-eng:WSM,15/07438/FULL,1800636,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/2692,1800637,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0121,1800638,,,,
brownfield-site,,,local-authority-eng:BEN,BR00023,1800639,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2006/2323,1800640,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2011/0643,1800641,,,,
brownfield-site,,,local-authority-eng:MRT,15/P4714,1800642,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0006,1800643,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0066,1800644,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3166,1800645,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1711,1800646,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/0942,1800647,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2017/0661,1800648,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-07,1800649,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR044,1800650,,,,
brownfield-site,,,local-authority-eng:HRW,P/3489/16,1800651,,,,
brownfield-site,,,local-authority-eng:WSM,16/10952/COFUL,1800652,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR088,1800653,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR084,1800654,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0021,1800655,,,,
brownfield-site,,,local-authority-eng:WSM,14/09094/FULL,1800656,,,,
brownfield-site,,,local-authority-eng:EAL,165373FUL,1800657,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0165,1800658,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-41,1800659,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2010/1305,1800660,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0010,1800661,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-62,1800662,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0123,1800663,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0098,1800664,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1635,1800665,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010008992775,1800666,,,,
brownfield-site,,,local-authority-eng:LEW,LC020,1800667,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5031,1800668,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1713,1800669,,,,
brownfield-site,,,local-authority-eng:HRW,P/4164/15,1800670,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0108,1800671,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-2494,1800672,,,,
brownfield-site,,,local-authority-eng:LEW,BL001,1800673,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1744,1800674,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010009018340,1800675,,,,
brownfield-site,,,local-authority-eng:LBH,BLR039,1800676,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0015,1800677,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD15,1800678,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10023997529,1800679,,,,
brownfield-site,,,local-authority-eng:BNE,F/01413/13,1800680,,,,
brownfield-site,,,local-authority-eng:ISL,P120513,1800681,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC005,1800682,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0035,1800683,,,,
brownfield-site,,,local-authority-eng:WFT,141775,1800684,,,,
brownfield-site,,,local-authority-eng:MRT,16/P3269,1800685,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3067,1800686,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0007,1800687,,,,
brownfield-site,,,local-authority-eng:WSM,15/00581/FULL,1800688,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0050,1800689,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0037,1800690,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-5074,1800691,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0071,1800692,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4611B,1800693,,,,
brownfield-site,,,local-authority-eng:WFT,153280,1800694,,,,
brownfield-site,,,local-authority-eng:WSM,HS004,1800695,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0563,1800696,,,,
brownfield-site,,,local-authority-eng:WSM,14/08430/FULL,1800697,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0018,1800698,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR033,1800699,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/3128,1800700,,,,
brownfield-site,,,local-authority-eng:WSM,15/06224/FULL,1800701,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4917,1800702,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0091,1800703,,,,
brownfield-site,,,local-authority-eng:BRY,BLR24,1800704,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0009,1800705,,,,
brownfield-site,,,local-authority-eng:ISL,FP6,1800706,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC040,1800707,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0167,1800708,,,,
brownfield-site,,,local-authority-eng:LEW,NX008,1800709,,,,
brownfield-site,,,local-authority-eng:HRW,P/5140/16,1800710,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0048,1800711,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2013/2322,1800712,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/1643,1800713,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10090851154,1800714,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC013,1800715,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2677,1800716,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0128,1800717,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3784,1800718,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0171,1800719,,,,
brownfield-site,,,local-authority-eng:ISL,P121068,1800720,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0039,1800721,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC018,1800722,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0905,1800723,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2864,1800724,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3749,1800725,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4856,1800726,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR085,1800727,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2006/0645,1800728,,,,
brownfield-site,,,local-authority-eng:HIL,28388/APP/2017/1447,1800729,,,,
brownfield-site,,,local-authority-eng:MRT,14/P3076,1800730,,,,
brownfield-site,,,local-authority-eng:HRW,P/3859/14,1800731,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD09,1800732,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/1417,1800733,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2719,1800734,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2066,1800735,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/2558,1800736,,,,
brownfield-site,,,local-authority-eng:HIL,23710/APP/2014/4376,1800737,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010034508054,1800738,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-50,1800739,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3070,1800740,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/1696,1800741,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0003,1800742,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10008983021,1800743,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0027,1800744,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0161,1800745,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-69,1800746,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC016,1800747,,,,
brownfield-site,,,local-authority-eng:MRT,08/P1522,1800748,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1184,1800749,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4298,1800750,,,,
brownfield-site,,,local-authority-eng:WSM,14/04161/FULL,1800751,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD62,1800752,,,,
brownfield-site,,,local-authority-eng:ISL,P2017/0415/PRA,1800753,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0188,1800754,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10034508497,1800755,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1038,1800756,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4243,1800757,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-67,1800758,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1781,1800759,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3281,1800760,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0056,1800761,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3968,1800762,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/3510,1800763,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2013/1538,1800764,,,,
brownfield-site,,,local-authority-eng:BRY,BLR56,1800765,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR039,1800766,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0016,1800767,,,,
brownfield-site,,,local-authority-eng:WSM,15/06315/FULL,1800768,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0043,1800769,,,,
brownfield-site,,,local-authority-eng:LEW,LC009,1800770,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4157,1800771,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0915,1800772,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3090,1800773,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0001,1800774,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:000046255097,1800775,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC026,1800776,,,,
