pipeline,dataset,current-entity-minimum,current-entity-maximum,current-organisation,previous-entity-minimum,previous-entity-maximum,previous-organisation
conservation-area,conservation-area,44002496,44002496,local-authority:LND,44002495,44002496,local-authority:LND
conservation-area,conservation-area,44002496,44002497,local-authority:LND,44002496,44002496,local-authority:LND
conservation-area,conservation-area,44002497,44002497,local-authority:LND,44002496,44002497,local-authority:LND
conservation-area,conservation-area,44002497,44002498,local-authority:LND,44002497,44002497,local-authority:LND
conservation-area,conservation-area,44002498,44002498,local-authority:LND,44002497,44002498,local-authority:LND
conservation-area,conservation-area,44002498,44002499,local-authority:LND,44002498,44002498,local-authority:LND
conservation-area,conservation-area,44002499,44002499,local-authority:LND,44002498,44002499,local-authority:LND
conservation-area,conservation-area,44002499,44002500,local-authority:LND,44002499,44002499,local-authority:LND
conservation-area,conservation-area,44002500,44002500,local-authority:LND,44002499,44002500,local-authority:LND
conservation-area,conservation-area,44002500,44002501,local-authority:LND,44002500,44002500,local-authority:LND
conservation-area,conservation-area,44002501,44002501,local-authority:LND,44002500,44002501,local-authority:LND
conservation-area,conservation-area,44002501,44002502,local-authority:LND,44002501,44002501,local-authority:LND
conservation-area,conservation-area,44002502,44002502,local-authority:LND,44002501,44002502,local-authority:LND
conservation-area,conservation-area,44002502,44002503,local-authority:LND,44002502,44002502,local-authority:LND
conservation-area,conservation-area,44002503,44002503,local-authority:LND,44002502,44002503,local-authority:LND
conservation-area,conservation-area,44002503,44002504,local-authority:LND,44002503,44002503,local-authority:LND
conservation-area,conservation-area,44002504,44002504,local-authority:LND,44002503,44002504,local-authority:LND
conservation-area,conservation-area,44002504,44002505,local-authority:LND,44002504,44002504,local-authority:LND
conservation-area,conservation-area,44002505,44002505,local-authority:LND,44002504,44002505,local-authority:LND
conservation-area,conservation-area,44002505,44002506,local-authority:LND,44002505,44002505,local-authority:LND
conservation-area,conservation-area,44002506,44002506,local-authority:LND,44002505,44002506,local-authority:LND
conservation-area,conservation-area,44002506,44002507,local-authority:LND,44002506,44002506,local-authority:LND
conservation-area,conservation-area,44002507,44002507,local-authority:LND,44002506,44002507,local-authority:LND
conservation-area,conservation-area,44002507,44002508,local-authority:LND,44002507,44002507,local-authority:LND
conservation-area,conservation-area,44002508,44002508,local-authority:LND,44002507,44002508,local-authority:LND
conservation-area,conservation-area,44002508,44002509,local-authority:LND,44002508,44002508,local-authority:LND
conservation-area,conservation-area,44002509,44002509,local-authority:LND,44002508,44002509,local-authority:LND
conservation-area,conservation-area,44002509,44002510,local-authority:LND,44002509,44002509,local-authority:LND
conservation-area,conservation-area,44002510,44002510,local-authority:LND,44002509,44002510,local-authority:LND
conservation-area,conservation-area,44002510,44002511,local-authority:LND,44002510,44002510,local-authority:LND
conservation-area,conservation-area,44002511,44002511,local-authority:LND,44002510,44002511,local-authority:LND
conservation-area,conservation-area,44002511,44002512,local-authority:LND,44002511,44002511,local-authority:LND
conservation-area,conservation-area,44002512,44002512,local-authority:LND,44002511,44002512,local-authority:LND
conservation-area,conservation-area,44002512,44002513,local-authority:LND,44002512,44002512,local-authority:LND
conservation-area,conservation-area,44002513,44002513,local-authority:LND,44002512,44002513,local-authority:LND
conservation-area,conservation-area,44002513,44002514,local-authority:LND,44002513,44002513,local-authority:LND
conservation-area,conservation-area,44002514,44002514,local-authority:LND,44002513,44002514,local-authority:LND
conservation-area,conservation-area,44002514,44002515,local-authority:LND,44002514,44002514,local-authority:LND
conservation-area,conservation-area,44002515,44002515,local-authority:LND,44002514,44002515,local-authority:LND
conservation-area,conservation-area,44002515,44002515,local-authority:LND,44002515,44002515,local-authority:LND
conservation-area,conservation-area,44002596,44002596,local-authority:CON,44002551,44002596,government-organisation:D1342
conservation-area,conservation-area,44002596,44002596,local-authority:CON,44002596,44002596,local-authority:CON
conservation-area,conservation-area,44002598,44002598,local-authority:CON,44002598,44002609,government-organisation:D1342
conservation-area,conservation-area,44002598,44002599,local-authority:CON,44002598,44002598,local-authority:CON
conservation-area,conservation-area,44002599,44002600,local-authority:CON,44002598,44002599,local-authority:CON
conservation-area,conservation-area,44002600,44002601,local-authority:CON,44002599,44002600,local-authority:CON
conservation-area,conservation-area,44002601,44002602,local-authority:CON,44002600,44002601,local-authority:CON
conservation-area,conservation-area,44002602,44002603,local-authority:CON,44002601,44002602,local-authority:CON
conservation-area,conservation-area,44002603,44002604,local-authority:CON,44002602,44002603,local-authority:CON
conservation-area,conservation-area,44002604,44002605,local-authority:CON,44002603,44002604,local-authority:CON
conservation-area,conservation-area,44002605,44002606,local-authority:CON,44002604,44002605,local-authority:CON
conservation-area,conservation-area,44002606,44002607,local-authority:CON,44002605,44002606,local-authority:CON
conservation-area,conservation-area,44002607,44002608,local-authority:CON,44002606,44002607,local-authority:CON
conservation-area,conservation-area,44002608,44002609,local-authority:CON,44002607,44002608,local-authority:CON
conservation-area,conservation-area,44002609,44002610,local-authority:CON,44002608,44002609,local-authority:CON
conservation-area,conservation-area,44002610,44002611,local-authority:CON,44002609,44002610,local-authority:CON
conservation-area,conservation-area,44002611,44002631,government-organisation:D1342,44002610,44002611,local-authority:CON
conservation-area,conservation-area,44002611,44002612,local-authority:CON,44002611,44002631,government-organisation:D1342
conservation-area,conservation-area,44002612,44002613,local-authority:CON,44002611,44002612,local-authority:CON
conservation-area,conservation-area,44002613,44002614,local-authority:CON,44002612,44002613,local-authority:CON
conservation-area,conservation-area,44002614,44002615,local-authority:CON,44002613,44002614,local-authority:CON
conservation-area,conservation-area,44002615,44002616,local-authority:CON,44002614,44002615,local-authority:CON
conservation-area,conservation-area,44002616,44002617,local-authority:CON,44002615,44002616,local-authority:CON
conservation-area,conservation-area,44002617,44002618,local-authority:CON,44002616,44002617,local-authority:CON
conservation-area,conservation-area,44002618,44002619,local-authority:CON,44002617,44002618,local-authority:CON
conservation-area,conservation-area,44002619,44002620,local-authority:CON,44002618,44002619,local-authority:CON
conservation-area,conservation-area,44002620,44002621,local-authority:CON,44002619,44002620,local-authority:CON
conservation-area,conservation-area,44002621,44002622,local-authority:CON,44002620,44002621,local-authority:CON
conservation-area,conservation-area,44002622,44002623,local-authority:CON,44002621,44002622,local-authority:CON
conservation-area,conservation-area,44002623,44002624,local-authority:CON,44002622,44002623,local-authority:CON
conservation-area,conservation-area,44002624,44002625,local-authority:CON,44002623,44002624,local-authority:CON
conservation-area,conservation-area,44002625,44002626,local-authority:CON,44002624,44002625,local-authority:CON
conservation-area,conservation-area,44002626,44002627,local-authority:CON,44002625,44002626,local-authority:CON
conservation-area,conservation-area,44002627,44002628,local-authority:CON,44002626,44002627,local-authority:CON
conservation-area,conservation-area,44002628,44002629,local-authority:CON,44002627,44002628,local-authority:CON
conservation-area,conservation-area,44002629,44002630,local-authority:CON,44002628,44002629,local-authority:CON
conservation-area,conservation-area,44002630,44002631,local-authority:CON,44002629,44002630,local-authority:CON
conservation-area,conservation-area,44002631,44002632,local-authority:CON,44002630,44002631,local-authority:CON
conservation-area,conservation-area,44002632,44002633,local-authority:CON,44002631,44002632,local-authority:CON
conservation-area,conservation-area,44002633,44002710,government-organisation:D1342,44002632,44002633,local-authority:CON
conservation-area,conservation-area,44002633,44002634,local-authority:CON,44002633,44002710,government-organisation:D1342
conservation-area,conservation-area,44002634,44002635,local-authority:CON,44002633,44002634,local-authority:CON
conservation-area,conservation-area,44002635,44002636,local-authority:CON,44002634,44002635,local-authority:CON
conservation-area,conservation-area,44002636,44002637,local-authority:CON,44002635,44002636,local-authority:CON
conservation-area,conservation-area,44002637,44002638,local-authority:CON,44002636,44002637,local-authority:CON
conservation-area,conservation-area,44002638,44002639,local-authority:CON,44002637,44002638,local-authority:CON
conservation-area,conservation-area,44002639,44002640,local-authority:CON,44002638,44002639,local-authority:CON
conservation-area,conservation-area,44002640,44002641,local-authority:CON,44002639,44002640,local-authority:CON
conservation-area,conservation-area,44002641,44002642,local-authority:CON,44002640,44002641,local-authority:CON
conservation-area,conservation-area,44002642,44002643,local-authority:CON,44002641,44002642,local-authority:CON
conservation-area,conservation-area,44002643,44002644,local-authority:CON,44002642,44002643,local-authority:CON
conservation-area,conservation-area,44002644,44002645,local-authority:CON,44002643,44002644,local-authority:CON
conservation-area,conservation-area,44002645,44002646,local-authority:CON,44002644,44002645,local-authority:CON
conservation-area,conservation-area,44002646,44002647,local-authority:CON,44002645,44002646,local-authority:CON
conservation-area,conservation-area,44002647,44002648,local-authority:CON,44002646,44002647,local-authority:CON
conservation-area,conservation-area,44002648,44002649,local-authority:CON,44002647,44002648,local-authority:CON
conservation-area,conservation-area,44002649,44002650,local-authority:CON,44002648,44002649,local-authority:CON
conservation-area,conservation-area,44002650,44002651,local-authority:CON,44002649,44002650,local-authority:CON
conservation-area,conservation-area,44002651,44002652,local-authority:CON,44002650,44002651,local-authority:CON
conservation-area,conservation-area,44002652,44002653,local-authority:CON,44002651,44002652,local-authority:CON
conservation-area,conservation-area,44002653,44002654,local-authority:CON,44002652,44002653,local-authority:CON
conservation-area,conservation-area,44002654,44002655,local-authority:CON,44002653,44002654,local-authority:CON
conservation-area,conservation-area,44002655,44002656,local-authority:CON,44002654,44002655,local-authority:CON
conservation-area,conservation-area,44002656,44002657,local-authority:CON,44002655,44002656,local-authority:CON
conservation-area,conservation-area,44002657,44002658,local-authority:CON,44002656,44002657,local-authority:CON
conservation-area,conservation-area,44002658,44002659,local-authority:CON,44002657,44002658,local-authority:CON
conservation-area,conservation-area,44002659,44002660,local-authority:CON,44002658,44002659,local-authority:CON
conservation-area,conservation-area,44002660,44002661,local-authority:CON,44002659,44002660,local-authority:CON
conservation-area,conservation-area,44002661,44002662,local-authority:CON,44002660,44002661,local-authority:CON
conservation-area,conservation-area,44002662,44002663,local-authority:CON,44002661,44002662,local-authority:CON
conservation-area,conservation-area,44002663,44002664,local-authority:CON,44002662,44002663,local-authority:CON
conservation-area,conservation-area,44002664,44002665,local-authority:CON,44002663,44002664,local-authority:CON
conservation-area,conservation-area,44002665,44002666,local-authority:CON,44002664,44002665,local-authority:CON
conservation-area,conservation-area,44002666,44002667,local-authority:CON,44002665,44002666,local-authority:CON
conservation-area,conservation-area,44002667,44002668,local-authority:CON,44002666,44002667,local-authority:CON
conservation-area,conservation-area,44002668,44002669,local-authority:CON,44002667,44002668,local-authority:CON
conservation-area,conservation-area,44002669,44002670,local-authority:CON,44002668,44002669,local-authority:CON
conservation-area,conservation-area,44002670,44002671,local-authority:CON,44002669,44002670,local-authority:CON
conservation-area,conservation-area,44002671,44002672,local-authority:CON,44002670,44002671,local-authority:CON
conservation-area,conservation-area,44002672,44002673,local-authority:CON,44002671,44002672,local-authority:CON
conservation-area,conservation-area,44002673,44002674,local-authority:CON,44002672,44002673,local-authority:CON
conservation-area,conservation-area,44002674,44002675,local-authority:CON,44002673,44002674,local-authority:CON
conservation-area,conservation-area,44002675,44002676,local-authority:CON,44002674,44002675,local-authority:CON
conservation-area,conservation-area,44002676,44002677,local-authority:CON,44002675,44002676,local-authority:CON
conservation-area,conservation-area,44002677,44002678,local-authority:CON,44002676,44002677,local-authority:CON
conservation-area,conservation-area,44002678,44002679,local-authority:CON,44002677,44002678,local-authority:CON
conservation-area,conservation-area,44002679,44002680,local-authority:CON,44002678,44002679,local-authority:CON
conservation-area,conservation-area,44002680,44002681,local-authority:CON,44002679,44002680,local-authority:CON
conservation-area,conservation-area,44002681,44002682,local-authority:CON,44002680,44002681,local-authority:CON
conservation-area,conservation-area,44002682,44002683,local-authority:CON,44002681,44002682,local-authority:CON
conservation-area,conservation-area,44002683,44002684,local-authority:CON,44002682,44002683,local-authority:CON
conservation-area,conservation-area,44002684,44002685,local-authority:CON,44002683,44002684,local-authority:CON
conservation-area,conservation-area,44002685,44002686,local-authority:CON,44002684,44002685,local-authority:CON
conservation-area,conservation-area,44002686,44002687,local-authority:CON,44002685,44002686,local-authority:CON
conservation-area,conservation-area,44002687,44002687,local-authority:CON,44002686,44002687,local-authority:CON
conservation-area,conservation-area,44002792,44002792,local-authority:BEX,44002786,44002798,government-organisation:D1342
conservation-area,conservation-area,44002800,44002801,local-authority:BEX,44002800,44002802,government-organisation:D1342
conservation-area,conservation-area,44002801,44002801,local-authority:BEX,44002800,44002801,local-authority:BEX
conservation-area,conservation-area,44002801,44002801,local-authority:BEX,44002801,44002801,local-authority:BEX
conservation-area,conservation-area,44002807,44002807,local-authority:BEX,44002807,44002808,government-organisation:D1342
conservation-area,conservation-area,44002813,44002813,local-authority:BRY,44002810,44002815,government-organisation:D1342
conservation-area,conservation-area,44002819,44002819,local-authority:BRY,44002817,44002819,government-organisation:D1342
conservation-area,conservation-area,44002821,44002821,local-authority:BRY,44002821,44002832,government-organisation:D1342
conservation-area,conservation-area,44002834,44002834,local-authority:BRY,44002834,44002834,government-organisation:D1342
conservation-area,conservation-area,44002836,44002837,local-authority:BRY,44002836,44002837,government-organisation:D1342
conservation-area,conservation-area,44002840,44002840,local-authority:BRY,44002840,44002840,government-organisation:D1342
conservation-area,conservation-area,44002842,44002844,local-authority:BRY,44002842,44002844,government-organisation:D1342
conservation-area,conservation-area,44002846,44002846,local-authority:BRY,44002846,44002846,government-organisation:D1342
conservation-area,conservation-area,44002850,44002851,local-authority:WSM,44002850,44002850,local-authority:WSM
conservation-area,conservation-area,44002851,44002852,local-authority:WSM,44002850,44002851,local-authority:WSM
conservation-area,conservation-area,44002852,44002853,local-authority:WSM,44002851,44002852,local-authority:WSM
conservation-area,conservation-area,44002853,44002853,local-authority:WSM,44002852,44002853,local-authority:WSM
conservation-area,conservation-area,44002855,44002856,local-authority:WSM,44002855,44002855,local-authority:WSM
conservation-area,conservation-area,44002856,44002857,local-authority:WSM,44002855,44002856,local-authority:WSM
conservation-area,conservation-area,44002857,44002858,local-authority:WSM,44002856,44002857,local-authority:WSM
conservation-area,conservation-area,44002858,44002859,local-authority:WSM,44002857,44002858,local-authority:WSM
conservation-area,conservation-area,44002859,44002860,local-authority:WSM,44002858,44002859,local-authority:WSM
conservation-area,conservation-area,44002860,44002861,local-authority:WSM,44002859,44002860,local-authority:WSM
conservation-area,conservation-area,44002861,44002862,local-authority:WSM,44002860,44002861,local-authority:WSM
conservation-area,conservation-area,44002862,44002863,local-authority:WSM,44002861,44002862,local-authority:WSM
conservation-area,conservation-area,44002863,44002864,local-authority:WSM,44002862,44002863,local-authority:WSM
conservation-area,conservation-area,44002864,44002865,local-authority:WSM,44002863,44002864,local-authority:WSM
conservation-area,conservation-area,44002865,44002866,local-authority:WSM,44002864,44002865,local-authority:WSM
conservation-area,conservation-area,44002866,44002867,local-authority:WSM,44002865,44002866,local-authority:WSM
conservation-area,conservation-area,44002867,44002868,local-authority:WSM,44002866,44002867,local-authority:WSM
conservation-area,conservation-area,44002868,44002869,local-authority:WSM,44002867,44002868,local-authority:WSM
conservation-area,conservation-area,44002869,44002870,local-authority:WSM,44002868,44002869,local-authority:WSM
conservation-area,conservation-area,44002870,44002871,local-authority:WSM,44002869,44002870,local-authority:WSM
conservation-area,conservation-area,44002871,44002872,local-authority:WSM,44002870,44002871,local-authority:WSM
conservation-area,conservation-area,44002872,44002873,local-authority:WSM,44002871,44002872,local-authority:WSM
conservation-area,conservation-area,44002873,44002874,local-authority:WSM,44002872,44002873,local-authority:WSM
conservation-area,conservation-area,44002874,44002875,local-authority:WSM,44002873,44002874,local-authority:WSM
conservation-area,conservation-area,44002875,44002876,local-authority:WSM,44002874,44002875,local-authority:WSM
conservation-area,conservation-area,44002876,44002877,local-authority:WSM,44002875,44002876,local-authority:WSM
conservation-area,conservation-area,44002877,44002878,local-authority:WSM,44002876,44002877,local-authority:WSM
conservation-area,conservation-area,44002878,44002879,local-authority:WSM,44002877,44002878,local-authority:WSM
conservation-area,conservation-area,44002879,44002880,local-authority:WSM,44002878,44002879,local-authority:WSM
conservation-area,conservation-area,44002880,44002881,local-authority:WSM,44002879,44002880,local-authority:WSM
conservation-area,conservation-area,44002881,44002882,local-authority:WSM,44002880,44002881,local-authority:WSM
conservation-area,conservation-area,44002882,44002883,local-authority:WSM,44002881,44002882,local-authority:WSM
conservation-area,conservation-area,44002883,44002884,local-authority:WSM,44002882,44002883,local-authority:WSM
conservation-area,conservation-area,44002884,44002885,local-authority:WSM,44002883,44002884,local-authority:WSM
conservation-area,conservation-area,44002885,44002886,local-authority:WSM,44002884,44002885,local-authority:WSM
conservation-area,conservation-area,44002886,44002887,local-authority:WSM,44002885,44002886,local-authority:WSM
conservation-area,conservation-area,44002887,44002889,local-authority:WSM,44002886,44002887,local-authority:WSM
conservation-area,conservation-area,44002889,44002890,local-authority:WSM,44002887,44002889,local-authority:WSM
conservation-area,conservation-area,44002890,44002891,local-authority:WSM,44002889,44002890,local-authority:WSM
conservation-area,conservation-area,44002891,44002892,local-authority:WSM,44002890,44002891,local-authority:WSM
conservation-area,conservation-area,44002892,44002893,local-authority:WSM,44002891,44002892,local-authority:WSM
conservation-area,conservation-area,44002893,44002894,local-authority:WSM,44002892,44002893,local-authority:WSM
conservation-area,conservation-area,44002894,44002895,local-authority:WSM,44002893,44002894,local-authority:WSM
conservation-area,conservation-area,44002895,44002896,local-authority:WSM,44002894,44002895,local-authority:WSM
conservation-area,conservation-area,44002896,44002897,local-authority:WSM,44002895,44002896,local-authority:WSM
conservation-area,conservation-area,44002897,44002898,local-authority:WSM,44002896,44002897,local-authority:WSM
conservation-area,conservation-area,44002898,44002899,local-authority:WSM,44002897,44002898,local-authority:WSM
conservation-area,conservation-area,44002899,44002900,local-authority:WSM,44002898,44002899,local-authority:WSM
conservation-area,conservation-area,44002900,44002901,local-authority:WSM,44002899,44002900,local-authority:WSM
conservation-area,conservation-area,44002901,44002902,local-authority:WSM,44002900,44002901,local-authority:WSM
conservation-area,conservation-area,44002902,44002903,local-authority:WSM,44002901,44002902,local-authority:WSM
conservation-area,conservation-area,44002903,44002903,local-authority:WSM,44002902,44002903,local-authority:WSM
conservation-area,conservation-area,44002904,44002908,local-authority:HAV,44002904,44002914,government-organisation:D1342
conservation-area,conservation-area,44002915,44002916,local-authority:BDG,44002915,44002915,local-authority:BDG
conservation-area,conservation-area,44002916,44002917,local-authority:BDG,44002915,44002916,local-authority:BDG
conservation-area,conservation-area,44002917,44002918,local-authority:BDG,44002916,44002917,local-authority:BDG
conservation-area,conservation-area,44002918,44002918,local-authority:BDG,44002917,44002918,local-authority:BDG
conservation-area,conservation-area,44002919,44002919,local-authority:CON,44002919,44002919,government-organisation:D1342
conservation-area,conservation-area,44002919,44002919,local-authority:CON,44002919,44002919,local-authority:CON
conservation-area,conservation-area,44002960,44002981,government-organisation:PB1164,44002960,44002974,government-organisation:D1342
conservation-area,conservation-area,44002986,44002987,government-organisation:D1342,44002986,44002986,government-organisation:D1342
conservation-area,conservation-area,44002986,44004019,government-organisation:PB1164,44002986,44002987,government-organisation:D1342
conservation-area,conservation-area,44002987,44002988,government-organisation:D1342,44002986,44004019,government-organisation:PB1164
conservation-area,conservation-area,44002988,44002988,government-organisation:D1342,44002987,44002988,government-organisation:D1342
conservation-area,conservation-area,44002990,44002991,government-organisation:D1342,44002990,44002990,government-organisation:D1342
conservation-area,conservation-area,44002991,44002992,government-organisation:D1342,44002990,44002991,government-organisation:D1342
conservation-area,conservation-area,44002992,44002993,government-organisation:D1342,44002991,44002992,government-organisation:D1342
conservation-area,conservation-area,44002993,44002993,government-organisation:D1342,44002992,44002993,government-organisation:D1342
conservation-area,conservation-area,44002996,44002997,government-organisation:D1342,44002996,44002996,government-organisation:D1342
conservation-area,conservation-area,44002997,44002999,government-organisation:D1342,44002996,44002997,government-organisation:D1342
conservation-area,conservation-area,44002999,44003000,government-organisation:D1342,44002997,44002999,government-organisation:D1342
conservation-area,conservation-area,44003000,44003001,government-organisation:D1342,44002999,44003000,government-organisation:D1342
conservation-area,conservation-area,44003001,44003003,government-organisation:D1342,44003000,44003001,government-organisation:D1342
conservation-area,conservation-area,44003003,44003004,government-organisation:D1342,44003001,44003003,government-organisation:D1342
conservation-area,conservation-area,44003004,44003005,government-organisation:D1342,44003003,44003004,government-organisation:D1342
conservation-area,conservation-area,44003005,44003010,government-organisation:D1342,44003004,44003005,government-organisation:D1342
conservation-area,conservation-area,44003007,44003010,local-authority:CLD,44003005,44003010,government-organisation:D1342
conservation-area,conservation-area,44003012,44003016,local-authority:CLD,44003012,44003016,government-organisation:D1342
conservation-area,conservation-area,44003018,44003018,local-authority:CLD,44003018,44003018,government-organisation:D1342
conservation-area,conservation-area,44003020,44003022,local-authority:CLD,44003020,44003022,government-organisation:D1342
conservation-area,conservation-area,44003134,44003135,national-park-authority:Q72617988,44003112,44003312,government-organisation:D1342
conservation-area,conservation-area,44003313,44003314,government-organisation:D1342,44003312,44003313,government-organisation:D1342
conservation-area,conservation-area,44003314,44003315,government-organisation:D1342,44003313,44003314,government-organisation:D1342
conservation-area,conservation-area,44003315,44003316,government-organisation:D1342,44003314,44003315,government-organisation:D1342
conservation-area,conservation-area,44003316,44003317,government-organisation:D1342,44003315,44003316,government-organisation:D1342
conservation-area,conservation-area,44003317,44003318,government-organisation:D1342,44003316,44003317,government-organisation:D1342
conservation-area,conservation-area,44003318,44003319,government-organisation:D1342,44003317,44003318,government-organisation:D1342
conservation-area,conservation-area,44003319,44003320,government-organisation:D1342,44003318,44003319,government-organisation:D1342
conservation-area,conservation-area,44003320,44003321,government-organisation:D1342,44003319,44003320,government-organisation:D1342
conservation-area,conservation-area,44003321,44003322,government-organisation:D1342,44003320,44003321,government-organisation:D1342
conservation-area,conservation-area,44003322,44003323,government-organisation:D1342,44003321,44003322,government-organisation:D1342
conservation-area,conservation-area,44003323,44003324,government-organisation:D1342,44003322,44003323,government-organisation:D1342
conservation-area,conservation-area,44003324,44003325,government-organisation:D1342,44003323,44003324,government-organisation:D1342
conservation-area,conservation-area,44003325,44003326,government-organisation:D1342,44003324,44003325,government-organisation:D1342
conservation-area,conservation-area,44003326,44003327,government-organisation:D1342,44003325,44003326,government-organisation:D1342
conservation-area,conservation-area,44003327,44003328,government-organisation:D1342,44003326,44003327,government-organisation:D1342
conservation-area,conservation-area,44003328,44003329,government-organisation:D1342,44003327,44003328,government-organisation:D1342
conservation-area,conservation-area,44003329,44003330,government-organisation:D1342,44003328,44003329,government-organisation:D1342
conservation-area,conservation-area,44003330,44003331,government-organisation:D1342,44003329,44003330,government-organisation:D1342
conservation-area,conservation-area,44003331,44003332,government-organisation:D1342,44003330,44003331,government-organisation:D1342
conservation-area,conservation-area,44003332,44003333,government-organisation:D1342,44003331,44003332,government-organisation:D1342
conservation-area,conservation-area,44003333,44003334,government-organisation:D1342,44003332,44003333,government-organisation:D1342
conservation-area,conservation-area,44003334,44003335,government-organisation:D1342,44003333,44003334,government-organisation:D1342
conservation-area,conservation-area,44003335,44003336,government-organisation:D1342,44003334,44003335,government-organisation:D1342
conservation-area,conservation-area,44003336,44003337,government-organisation:D1342,44003335,44003336,government-organisation:D1342
conservation-area,conservation-area,44003337,44003338,government-organisation:D1342,44003336,44003337,government-organisation:D1342
conservation-area,conservation-area,44003338,44003339,government-organisation:D1342,44003337,44003338,government-organisation:D1342
conservation-area,conservation-area,44003339,44003340,government-organisation:D1342,44003338,44003339,government-organisation:D1342
conservation-area,conservation-area,44003340,44003341,government-organisation:D1342,44003339,44003340,government-organisation:D1342
conservation-area,conservation-area,44003341,44003342,government-organisation:D1342,44003340,44003341,government-organisation:D1342
conservation-area,conservation-area,44003342,44003343,government-organisation:D1342,44003341,44003342,government-organisation:D1342
conservation-area,conservation-area,44003343,44003344,government-organisation:D1342,44003342,44003343,government-organisation:D1342
conservation-area,conservation-area,44003344,44003345,government-organisation:D1342,44003343,44003344,government-organisation:D1342
conservation-area,conservation-area,44003345,44003346,government-organisation:D1342,44003344,44003345,government-organisation:D1342
conservation-area,conservation-area,44003346,44003347,government-organisation:D1342,44003345,44003346,government-organisation:D1342
conservation-area,conservation-area,44003347,44003348,government-organisation:D1342,44003346,44003347,government-organisation:D1342
conservation-area,conservation-area,44003348,44003349,government-organisation:D1342,44003347,44003348,government-organisation:D1342
conservation-area,conservation-area,44003349,44003350,government-organisation:D1342,44003348,44003349,government-organisation:D1342
conservation-area,conservation-area,44003350,44003351,government-organisation:D1342,44003349,44003350,government-organisation:D1342
conservation-area,conservation-area,44003351,44003352,government-organisation:D1342,44003350,44003351,government-organisation:D1342
conservation-area,conservation-area,44003352,44003353,government-organisation:D1342,44003351,44003352,government-organisation:D1342
conservation-area,conservation-area,44003353,44003354,government-organisation:D1342,44003352,44003353,government-organisation:D1342
conservation-area,conservation-area,44003354,44003355,government-organisation:D1342,44003353,44003354,government-organisation:D1342
conservation-area,conservation-area,44003355,44003356,government-organisation:D1342,44003354,44003355,government-organisation:D1342
conservation-area,conservation-area,44003356,44003357,government-organisation:D1342,44003355,44003356,government-organisation:D1342
conservation-area,conservation-area,44003357,44003358,government-organisation:D1342,44003356,44003357,government-organisation:D1342
conservation-area,conservation-area,44003358,44003359,government-organisation:D1342,44003357,44003358,government-organisation:D1342
conservation-area,conservation-area,44003359,44003360,government-organisation:D1342,44003358,44003359,government-organisation:D1342
conservation-area,conservation-area,44003360,44003361,government-organisation:D1342,44003359,44003360,government-organisation:D1342
conservation-area,conservation-area,44003361,44003362,government-organisation:D1342,44003360,44003361,government-organisation:D1342
conservation-area,conservation-area,44003362,44003363,government-organisation:D1342,44003361,44003362,government-organisation:D1342
conservation-area,conservation-area,44003363,44003364,government-organisation:D1342,44003362,44003363,government-organisation:D1342
conservation-area,conservation-area,44003364,44003365,government-organisation:D1342,44003363,44003364,government-organisation:D1342
conservation-area,conservation-area,44003365,44003366,government-organisation:D1342,44003364,44003365,government-organisation:D1342
conservation-area,conservation-area,44003366,44003367,government-organisation:D1342,44003365,44003366,government-organisation:D1342
conservation-area,conservation-area,44003367,44003368,government-organisation:D1342,44003366,44003367,government-organisation:D1342
conservation-area,conservation-area,44003368,44003369,government-organisation:D1342,44003367,44003368,government-organisation:D1342
conservation-area,conservation-area,44003369,44003370,government-organisation:D1342,44003368,44003369,government-organisation:D1342
conservation-area,conservation-area,44003370,44003371,government-organisation:D1342,44003369,44003370,government-organisation:D1342
conservation-area,conservation-area,44003371,44003372,government-organisation:D1342,44003370,44003371,government-organisation:D1342
conservation-area,conservation-area,44003372,44003373,government-organisation:D1342,44003371,44003372,government-organisation:D1342
conservation-area,conservation-area,44003373,44003374,government-organisation:D1342,44003372,44003373,government-organisation:D1342
conservation-area,conservation-area,44003374,44003375,government-organisation:D1342,44003373,44003374,government-organisation:D1342
conservation-area,conservation-area,44003375,44003376,government-organisation:D1342,44003374,44003375,government-organisation:D1342
conservation-area,conservation-area,44003376,44003377,government-organisation:D1342,44003375,44003376,government-organisation:D1342
conservation-area,conservation-area,44003377,44003378,government-organisation:D1342,44003376,44003377,government-organisation:D1342
conservation-area,conservation-area,44003378,44003379,government-organisation:D1342,44003377,44003378,government-organisation:D1342
conservation-area,conservation-area,44003379,44003380,government-organisation:D1342,44003378,44003379,government-organisation:D1342
conservation-area,conservation-area,44003380,44003381,government-organisation:D1342,44003379,44003380,government-organisation:D1342
conservation-area,conservation-area,44003381,44003382,government-organisation:D1342,44003380,44003381,government-organisation:D1342
conservation-area,conservation-area,44003382,44003383,government-organisation:D1342,44003381,44003382,government-organisation:D1342
conservation-area,conservation-area,44003383,44003384,government-organisation:D1342,44003382,44003383,government-organisation:D1342
conservation-area,conservation-area,44003384,44003385,government-organisation:D1342,44003383,44003384,government-organisation:D1342
conservation-area,conservation-area,44003385,44003386,government-organisation:D1342,44003384,44003385,government-organisation:D1342
conservation-area,conservation-area,44003386,44003387,government-organisation:D1342,44003385,44003386,government-organisation:D1342
conservation-area,conservation-area,44003387,44003388,government-organisation:D1342,44003386,44003387,government-organisation:D1342
