prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,clp-R11,5600288
development-policy,,local-authority-eng:BUC,clp-R12,5600289
development-policy,,local-authority-eng:BUC,clp-R13,5600290
development-policy,,local-authority-eng:BUC,clp-R16,5600291
development-policy,,local-authority-eng:BUC,clp-T2,5600292
development-policy,,local-authority-eng:BUC,clp-T4,5600293
development-policy,,local-authority-eng:BUC,clp-CSF1,5600294
development-policy,,local-authority-eng:BUC,clp-CSF2,5600295
development-policy,,local-authority-eng:BUC,clp-AS1,5600296
development-policy,,local-authority-eng:BUC,clp-AS2,5600297
development-policy,,local-authority-eng:BUC,clp-LB1,5600298
development-policy,,local-authority-eng:BUC,clp-LB2,5600299
development-policy,,local-authority-eng:BUC,clp-LB3,5600300
development-policy,,local-authority-eng:BUC,clp-LB4,5600301
development-policy,,local-authority-eng:BUC,clp-CA1,5600302
development-policy,,local-authority-eng:BUC,clp-CA2,5600303
development-policy,,local-authority-eng:BUC,clp-CA3,5600304
development-policy,,local-authority-eng:BUC,clp-CA4,5600305
development-policy,,local-authority-eng:BUC,clp-CA5,5600306
development-policy,,local-authority-eng:BUC,clp-TW2,5600307
development-policy,,local-authority-eng:BUC,clp-TW3,5600308
development-policy,,local-authority-eng:BUC,clp-TW6,5600309
development-policy,,local-authority-eng:BUC,clp-NC1,5600310
development-policy,,local-authority-eng:BUC,clp-NC3,5600311
development-policy,,local-authority-eng:BUC,clp-A2,5600312
development-policy,,local-authority-eng:BUC,clp-A3,5600313
development-policy,,local-authority-eng:BUC,clp-TD1,5600314
development-policy,,local-authority-eng:BUC,clp-TD2,5600315
development-policy,,local-authority-eng:BUC,clp-OEL1,5600316
development-policy,,local-authority-eng:BUC,ccs-CS1,5600317
development-policy,,local-authority-eng:BUC,ccs-CS2,5600318
development-policy,,local-authority-eng:BUC,ccs-CS3,5600319
development-policy,,local-authority-eng:BUC,ccs-CS4,5600320
development-policy,,local-authority-eng:BUC,ccs-CS5,5600321
development-policy,,local-authority-eng:BUC,ccs-CS6,5600322
development-policy,,local-authority-eng:BUC,ccs-CS7,5600323
development-policy,,local-authority-eng:BUC,ccs-CS8,5600324
development-policy,,local-authority-eng:BUC,ccs-CS9,5600325
development-policy,,local-authority-eng:BUC,ccs-CS10,5600326
development-policy,,local-authority-eng:BUC,ccs-CS11,5600327
development-policy,,local-authority-eng:BUC,ccs-CS12,5600328
development-policy,,local-authority-eng:BUC,ccs-CS13,5600329
development-policy,,local-authority-eng:BUC,ccs-CS14,5600330
development-policy,,local-authority-eng:BUC,ccs-CS15,5600331
development-policy,,local-authority-eng:BUC,ccs-CS16,5600332
development-policy,,local-authority-eng:BUC,ccs-CS17,5600333
development-policy,,local-authority-eng:BUC,ccs-CS18,5600334
development-policy,,local-authority-eng:BUC,ccs-CS19,5600335
development-policy,,local-authority-eng:BUC,ccs-CS20,5600336
development-policy,,local-authority-eng:BUC,ccs-CS21,5600337
development-policy,,local-authority-eng:BUC,ccs-CS22,5600338
development-policy,,local-authority-eng:BUC,ccs-CS23,5600339
development-policy,,local-authority-eng:BUC,ccs-CS24,5600340
development-policy,,local-authority-eng:BUC,ccs-CS25,5600341
development-policy,,local-authority-eng:BUC,ccs-CS26,5600342
development-policy,,local-authority-eng:BUC,ccs-CS27,5600343
development-policy,,local-authority-eng:BUC,ccs-CS28,5600344
development-policy,,local-authority-eng:BUC,ccs-CS29,5600345
development-policy,,local-authority-eng:BUC,ccs-CS30,5600346
development-policy,,local-authority-eng:BUC,ccs-CS31,5600347
development-policy,,local-authority-eng:BUC,ccs-CS32,5600348
development-policy,,local-authority-eng:BUC,sblp-GB1,5600349
development-policy,,local-authority-eng:BUC,sblp-GB2,5600350
development-policy,,local-authority-eng:BUC,sblp-GB3,5600351
development-policy,,local-authority-eng:BUC,sblp-GB4,5600352
development-policy,,local-authority-eng:BUC,sblp-GB5,5600353
development-policy,,local-authority-eng:BUC,sblp-GB7,5600354
development-policy,,local-authority-eng:BUC,sblp-GB9,5600355
development-policy,,local-authority-eng:BUC,sblp-GB10,5600356
development-policy,,local-authority-eng:BUC,sblp-GB11,5600357
development-policy,,local-authority-eng:BUC,sblp-GB13,5600358
development-policy,,local-authority-eng:BUC,sblp-L4,5600359
development-policy,,local-authority-eng:BUC,sblp-L10,5600360
development-policy,,local-authority-eng:BUC,sblp-C1,5600361
development-policy,,local-authority-eng:BUC,sblp-C6,5600362
development-policy,,local-authority-eng:BUC,sblp-C15,5600363
development-policy,,local-authority-eng:BUC,sblp-EP3,5600364
development-policy,,local-authority-eng:BUC,sblp-EP4,5600365
development-policy,,local-authority-eng:BUC,sblp-EP5,5600366
development-policy,,local-authority-eng:BUC,sblp-EP6,5600367
development-policy,,local-authority-eng:BUC,sblp-EP7,5600368
development-policy,,local-authority-eng:BUC,sblp-EP16,5600369
development-policy,,local-authority-eng:BUC,sblp-EP17,5600370
development-policy,,local-authority-eng:BUC,sblp-EP18,5600371
development-policy,,local-authority-eng:BUC,sblp-R5,5600372
development-policy,,local-authority-eng:BUC,sblp-R6,5600373
development-policy,,local-authority-eng:BUC,sblp-R8,5600374
development-policy,,local-authority-eng:BUC,sblp-R9,5600375
development-policy,,local-authority-eng:BUC,sblp-R10,5600376
development-policy,,local-authority-eng:BUC,sblp-H2,5600377
