end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,42101351,,,,listed-building-outline,,,,352
,,42101352,,,,listed-building-outline,,,,353
,,42101353,,,,listed-building-outline,,,,354
,,42101354,,,,listed-building-outline,,,,355
,,42101355,,,,listed-building-outline,,,,356
,,42101356,,,,listed-building-outline,,,,357
,,42101357,,,,listed-building-outline,,,,358
,,42101358,,,,listed-building-outline,,,,359
,,42101359,,,,listed-building-outline,,,,360
,,42101360,,,,listed-building-outline,,,,361
,,42101361,,,,listed-building-outline,,,,362
,,42101362,,,,listed-building-outline,,,,363
,,42101363,,,,listed-building-outline,,,,364
,,42101364,,,,listed-building-outline,,,,365
,,42101365,,,,listed-building-outline,,,,366
,,42101366,,,,listed-building-outline,,,,367
,,42101367,,,,listed-building-outline,,,,368
,,42101368,,,,listed-building-outline,,,,369
,,42101369,,,,listed-building-outline,,,,370
,,42101370,,,,listed-building-outline,,,,371
,,42101371,,,,listed-building-outline,,,,372
,,42101372,,,,listed-building-outline,,,,373
,,42101373,,,,listed-building-outline,,,,374
,,42101374,,,,listed-building-outline,,,,375
,,42101375,,,,listed-building-outline,,,,376
,,42101376,,,,listed-building-outline,,,,377
,,42101377,,,,listed-building-outline,,,,378
,,42101378,,,,listed-building-outline,,,,379
,,42101379,,,,listed-building-outline,,,,380
,,42101380,,,,listed-building-outline,,,,381
,,42101381,,,,listed-building-outline,,,,382
,,42101382,,,,listed-building-outline,,,,383
,,42101383,,,,listed-building-outline,,,,384
,,42101384,,,,listed-building-outline,,,,385
,,42101385,,,,listed-building-outline,,,,386
,,42101386,,,,listed-building-outline,,,,387
,,42101387,,,,listed-building-outline,,,,388
,,42101388,,,,listed-building-outline,,,,389
,,42101389,,,,listed-building-outline,,,,390
,,42101390,,,,listed-building-outline,,,,391
,,42101391,,,,listed-building-outline,,,,392
,,42101392,,,,listed-building-outline,,,,393
,,42101393,,,,listed-building-outline,,,,394
,,42101394,,,,listed-building-outline,,,,395
,,42101395,,,,listed-building-outline,,,,396
,,42101396,,,,listed-building-outline,,,,397
,,42101397,,,,listed-building-outline,,,,398
,,42101398,,,,listed-building-outline,,,,399
,,42101399,,,,listed-building-outline,,,,400
,,42101400,,,,listed-building-outline,,,,401
,,42101401,,,,listed-building-outline,,,,402
,,42101402,,,,listed-building-outline,,,,403
,,42101403,,,,listed-building-outline,,,,404
,,42101404,,,,listed-building-outline,,,,405
,,42101405,,,,listed-building-outline,,,,406
