old-entity,status,entity,notes,end-date,entry-date,start-date
42100901,410,,,,,
42100902,410,,,,,
42100903,410,,,,,
42100904,410,,,,,
42100905,410,,,,,
42100906,410,,,,,
42100907,410,,,,,
42100908,410,,,,,
42100909,410,,,,,
42100910,410,,,,,
42100911,410,,,,,
42100912,410,,,,,
42100913,410,,,,,
42100914,410,,,,,
42100915,410,,,,,
42100916,410,,,,,
42100917,410,,,,,
42100918,410,,,,,
42100919,410,,,,,
42100920,410,,,,,
42100921,410,,,,,
42100922,410,,,,,
42100923,410,,,,,
42100924,410,,,,,
42100925,410,,,,,
42100926,410,,,,,
42100927,410,,,,,
42100928,410,,,,,
42100929,410,,,,,
42100930,410,,,,,
42100931,410,,,,,
42100932,410,,,,,
42100933,410,,,,,
42100934,410,,,,,
42100935,410,,,,,
42100936,410,,,,,
42100937,410,,,,,
42100938,410,,,,,
42100939,410,,,,,
42100940,410,,,,,
42100941,410,,,,,
42100942,410,,,,,
42100943,410,,,,,
42100944,410,,,,,
42100945,410,,,,,
42100946,410,,,,,
42100947,410,,,,,
42100948,410,,,,,
42100949,410,,,,,
42100950,410,,,,,
42100951,410,,,,,
42100952,410,,,,,
42100953,410,,,,,
42100954,410,,,,,
42100955,410,,,,,
42100956,410,,,,,
42100957,410,,,,,
42100958,410,,,,,
42100959,410,,,,,
42100960,410,,,,,
42100961,410,,,,,
42100962,410,,,,,
42100963,410,,,,,
42100964,410,,,,,
42100965,410,,,,,
42100966,410,,,,,
42100967,410,,,,,
42100968,410,,,,,
42100969,410,,,,,
42100970,410,,,,,
42100971,410,,,,,
42100972,410,,,,,
42100973,410,,,,,
42100974,410,,,,,
42100975,410,,,,,
42100976,410,,,,,
42100977,410,,,,,
42100978,410,,,,,
42100979,410,,,,,
42100980,410,,,,,
42100981,410,,,,,
42100982,410,,,,,
42100983,410,,,,,
42100984,410,,,,,
42100985,410,,,,,
42100986,410,,,,,
42100987,410,,,,,
42100988,410,,,,,
42100989,410,,,,,
42100990,410,,,,,
42100991,410,,,,,
42100992,410,,,,,
42100993,410,,,,,
42100994,410,,,,,
42100995,410,,,,,
42100996,410,,,,,
42100997,410,,,,,
42100998,410,,,,,
42100999,410,,,,,
42112259,410,,Lambeth entities from old resource,,,
42112260,410,,Lambeth entities from old resource,,,
42112260,410,,Lambeth entities from old resource,,,
42112261,410,,Lambeth entities from old resource,,,
42112262,410,,Lambeth entities from old resource,,,
42112263,410,,Lambeth entities from old resource,,,
42112264,410,,Lambeth entities from old resource,,,
42112265,410,,Lambeth entities from old resource,,,
42112266,410,,Lambeth entities from old resource,,,
42112267,410,,Lambeth entities from old resource,,,
42112268,410,,Lambeth entities from old resource,,,
42112269,410,,Lambeth entities from old resource,,,
42112270,410,,Lambeth entities from old resource,,,
42112271,410,,Lambeth entities from old resource,,,
42112272,410,,Lambeth entities from old resource,,,
42112273,410,,Lambeth entities from old resource,,,
42113837,410,,original Medway listed-building-outline entities linked to resource,,,
42113838,410,,original Medway listed-building-outline entities linked to resource,,,
42113839,410,,original Medway listed-building-outline entities linked to resource,,,
42113840,410,,original Medway listed-building-outline entities linked to resource,,,
42113841,410,,original Medway listed-building-outline entities linked to resource,,,
42113842,410,,original Medway listed-building-outline entities linked to resource,,,
42113843,410,,original Medway listed-building-outline entities linked to resource,,,
42113844,410,,original Medway listed-building-outline entities linked to resource,,,
42113845,410,,original Medway listed-building-outline entities linked to resource,,,
42113846,410,,original Medway listed-building-outline entities linked to resource,,,
42113847,410,,original Medway listed-building-outline entities linked to resource,,,
42113848,410,,original Medway listed-building-outline entities linked to resource,,,
42113849,410,,original Medway listed-building-outline entities linked to resource,,,
42113850,410,,original Medway listed-building-outline entities linked to resource,,,
42113851,410,,original Medway listed-building-outline entities linked to resource,,,
42113852,410,,original Medway listed-building-outline entities linked to resource,,,
42113853,410,,original Medway listed-building-outline entities linked to resource,,,
42113854,410,,original Medway listed-building-outline entities linked to resource,,,
42113855,410,,original Medway listed-building-outline entities linked to resource,,,
42113856,410,,original Medway listed-building-outline entities linked to resource,,,
42113857,410,,original Medway listed-building-outline entities linked to resource,,,
42113858,410,,original Medway listed-building-outline entities linked to resource,,,
42113859,410,,original Medway listed-building-outline entities linked to resource,,,
42113860,410,,original Medway listed-building-outline entities linked to resource,,,
42113861,410,,original Medway listed-building-outline entities linked to resource,,,
42113862,410,,original Medway listed-building-outline entities linked to resource,,,
