prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
ancient-woodland,,,,,1480873,110000511,,,
ancient-woodland,,,,,1497849,110000512,,,
ancient-woodland,,,,,1497792,110000513,,,
ancient-woodland,,,,,1481936,110000514,,,
ancient-woodland,,,,,1481945,110000515,,,
ancient-woodland,,,,,1481065,110000516,,,
ancient-woodland,,,,,1481269,110000517,,,
ancient-woodland,,,,,1481959,110000518,,,
ancient-woodland,,,,,1481835,110000519,,,
ancient-woodland,,,,,1481827,110000520,,,
ancient-woodland,,,,,1481831,110000521,,,
ancient-woodland,,,,,1480689,110000522,,,
ancient-woodland,,,,,1480680,110000523,,,
ancient-woodland,,,,,1482536,110000524,,,
ancient-woodland,,,,,1480779,110000525,,,
ancient-woodland,,,,,1480778,110000526,,,
ancient-woodland,,,,,1482230,110000527,,,
ancient-woodland,,,,,1480876,110000528,,,
ancient-woodland,,,,,1482333,110000529,,,
ancient-woodland,,,,,1481874,110000530,,,
ancient-woodland,,,,,1481876,110000531,,,
ancient-woodland,,,,,1482384,110000532,,,
ancient-woodland,,,,,1482148,110000533,,,
ancient-woodland,,,,,1481640,110000534,,,
ancient-woodland,,,,,1497804,110000535,,,
ancient-woodland,,,,,1497805,110000536,,,
ancient-woodland,,,,,1481132,110000537,,,
ancient-woodland,,,,,1482721,110000538,,,
ancient-woodland,,,,,1482483,110000539,,,
ancient-woodland,,,,,1482585,110000540,,,
ancient-woodland,,,,,1482584,110000541,,,
ancient-woodland,,,,,1482046,110000542,,,
ancient-woodland,,,,,1481822,110000543,,,
ancient-woodland,,,,,1482360,110000544,,,
ancient-woodland,,,,,1481057,110000545,,,
ancient-woodland,,,,,1481377,110000546,,,
ancient-woodland,,,,,1481376,110000547,,,
ancient-woodland,,,,,1481448,110000548,,,
ancient-woodland,,,,,1481363,110000549,,,
ancient-woodland,,,,,1482100,110000550,,,
ancient-woodland,,,,,1482101,110000551,,,
ancient-woodland,,,,,1480684,110000552,,,
ancient-woodland,,,,,1480683,110000553,,,
ancient-woodland,,,,,1481126,110000554,,,
ancient-woodland,,,,,1481740,110000555,,,
ancient-woodland,,,,,1482503,110000556,,,
ancient-woodland,,,,,1481282,110000557,,,
ancient-woodland,,,,,1480974,110000558,,,
ancient-woodland,,,,,1482474,110000559,,,
ancient-woodland,,,,,1481068,110000560,,,
ancient-woodland,,,,,1480968,110000561,,,
ancient-woodland,,,,,1480967,110000562,,,
ancient-woodland,,,,,1481054,110000563,,,
ancient-woodland,,,,,1482357,110000564,,,
ancient-woodland,,,,,1481055,110000565,,,
ancient-woodland,,,,,1481066,110000566,,,
ancient-woodland,,,,,1481067,110000567,,,
ancient-woodland,,,,,1482255,110000568,,,
ancient-woodland,,,,,1482677,110000569,,,
ancient-woodland,,,,,1482547,110000570,,,
ancient-woodland,,,,,1480872,110000571,,,
ancient-woodland,,,,,1481768,110000572,,,
ancient-woodland,,,,,1482150,110000573,,,
ancient-woodland,,,,,1480823,110000574,,,
ancient-woodland,,,,,1481391,110000575,,,
ancient-woodland,,,,,1480922,110000576,,,
ancient-woodland,,,,,1481196,110000577,,,
ancient-woodland,,,,,1481800,110000578,,,
ancient-woodland,,,,,1481401,110000579,,,
ancient-woodland,,,,,1481403,110000580,,,
ancient-woodland,,,,,1481399,110000581,,,
ancient-woodland,,,,,1482153,110000582,,,
ancient-woodland,,,,,1482164,110000583,,,
ancient-woodland,,,,,1482505,110000584,,,
ancient-woodland,,,,,1480878,110000585,,,
ancient-woodland,,,,,1480733,110000586,,,
ancient-woodland,,,,,1480734,110000587,,,
ancient-woodland,,,,,1481218,110000588,,,
ancient-woodland,,,,,1482286,110000589,,,
ancient-woodland,,,,,1481794,110000590,,,
ancient-woodland,,,,,1481263,110000591,,,
ancient-woodland,,,,,1482190,110000592,,,
ancient-woodland,,,,,1497853,110000593,,,
ancient-woodland,,,,,1480909,110000594,,,
ancient-woodland,,,,,1480910,110000595,,,
ancient-woodland,,,,,1480908,110000596,,,
ancient-woodland,,,,,1481493,110000597,,,
ancient-woodland,,,,,1481106,110000598,,,
ancient-woodland,,,,,1482264,110000599,,,
ancient-woodland,,,,,1481833,110000600,,,
