end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,11100264,,,,park-and-garden,,,,1000371
,,11100265,,,,park-and-garden,,,,1000372
,,11100266,,,,park-and-garden,,,,1000373
,,11100267,,,,park-and-garden,,,,1000374
,,11100268,,,,park-and-garden,,,,1000375
,,11100269,,,,park-and-garden,,,,1000376
,,11100270,,,,park-and-garden,,,,1000377
,,11100271,,,,park-and-garden,,,,1000378
,,11100272,,,,park-and-garden,,,,1000379
,,11100273,,,,park-and-garden,,,,1000380
,,11100274,,,,park-and-garden,,,,1000381
,,11100275,,,,park-and-garden,,,,1000382
,,11100276,,,,park-and-garden,,,,1000383
,,11100277,,,,park-and-garden,,,,1000384
,,11100278,,,,park-and-garden,,,,1000385
,,11100279,,,,park-and-garden,,,,1000386
,,11100280,,,,park-and-garden,,,,1000387
,,11100281,,,,park-and-garden,,,,1000388
,,11100282,,,,park-and-garden,,,,1000389
,,11100283,,,,park-and-garden,,,,1000390
,,11100284,,,,park-and-garden,,,,1000391
,,11100285,,,,park-and-garden,,,,1000392
,,11100286,,,,park-and-garden,,,,1000393
,,11100287,,,,park-and-garden,,,,1000394
,,11100288,,,,park-and-garden,,,,1000395
,,11100289,,,,park-and-garden,,,,1000396
,,11100290,,,,park-and-garden,,,,1000397
,,11100291,,,,park-and-garden,,,,1000398
,,11100292,,,,park-and-garden,,,,1000399
,,11100293,,,,park-and-garden,,,,1000400
,,11100294,,,,park-and-garden,,,,1000401
,,11100295,,,,park-and-garden,,,,1000402
,,11100296,,,,park-and-garden,,,,1000403
,,11100297,,,,park-and-garden,,,,1000404
,,11100298,,,,park-and-garden,,,,1000405
,,11100299,,,,park-and-garden,,,,1000406
,,11100300,,,,park-and-garden,,,,1000407
,,11100301,,,,park-and-garden,,,,1000408
,,11100302,,,,park-and-garden,,,,1000409
,,11100303,,,,park-and-garden,,,,1000410
,,11100304,,,,park-and-garden,,,,1000411
,,11100305,,,,park-and-garden,,,,1000412
,,11100306,,,,park-and-garden,,,,1000413
,,11100307,,,,park-and-garden,,,,1000414
,,11100308,,,,park-and-garden,,,,1000415
,,11100309,,,,park-and-garden,,,,1000416
,,11100310,,,,park-and-garden,,,,1000417
,,11100311,,,,park-and-garden,,,,1000418
,,11100312,,,,park-and-garden,,,,1000419
,,11100313,,,,park-and-garden,,,,1000420
,,11100314,,,,park-and-garden,,,,1000421
,,11100315,,,,park-and-garden,,,,1000422
,,11100316,,,,park-and-garden,,,,1000423
,,11100317,,,,park-and-garden,,,,1000424
,,11100318,,,,park-and-garden,,,,1000425
,,11100319,,,,park-and-garden,,,,1000426
,,11100320,,,,park-and-garden,,,,1000427
,,11100321,,,,park-and-garden,,,,1000428
,,11100322,,,,park-and-garden,,,,1000429
,,11100323,,,,park-and-garden,,,,1000430
,,11100324,,,,park-and-garden,,,,1000431
,,11100325,,,,park-and-garden,,,,1000432
,,11100326,,,,park-and-garden,,,,1000433
,,11100327,,,,park-and-garden,,,,1000434
,,11100328,,,,park-and-garden,,,,1000435
,,11100329,,,,park-and-garden,,,,1000436
,,11100330,,,,park-and-garden,,,,1000437
,,11100331,,,,park-and-garden,,,,1000438
,,11100332,,,,park-and-garden,,,,1000439
,,11100333,,,,park-and-garden,,,,1000440
,,11100334,,,,park-and-garden,,,,1000441
,,11100335,,,,park-and-garden,,,,1000442
,,11100336,,,,park-and-garden,,,,1000443
,,11100337,,,,park-and-garden,,,,1000444
,,11100338,,,,park-and-garden,,,,1000445
,,11100339,,,,park-and-garden,,,,1000446
,,11100340,,,,park-and-garden,,,,1000447
,,11100341,,,,park-and-garden,,,,1000448
,,11100342,,,,park-and-garden,,,,1000449
,,11100343,,,,park-and-garden,,,,1000450
,,11100344,,,,park-and-garden,,,,1000451
,,11100345,,,,park-and-garden,,,,1000452
,,11100346,,,,park-and-garden,,,,1000453
,,11100347,,,,park-and-garden,,,,1000454
,,11100348,,,,park-and-garden,,,,1000455
,,11100349,,,,park-and-garden,,,,1000456
,,11100350,,,,park-and-garden,,,,1000457
,,11100351,,,,park-and-garden,,,,1000458
,,11100352,,,,park-and-garden,,,,1000459
,,11100353,,,,park-and-garden,,,,1000460
,,11100354,,,,park-and-garden,,,,1000461
,,11100355,,,,park-and-garden,,,,1000462
,,11100356,,,,park-and-garden,,,,1000463
,,11100357,,,,park-and-garden,,,,1000464
,,11100358,,,,park-and-garden,,,,1000465
,,11100359,,,,park-and-garden,,,,1000466
,,11100360,,,,park-and-garden,,,,1000467
,,11100361,,,,park-and-garden,,,,1000468
,,11100362,,,,park-and-garden,,,,1000469
,,11100363,,,,park-and-garden,,,,1000470
,,11100364,,,,park-and-garden,,,,1000471
,,11100365,,,,park-and-garden,,,,1000472
,,11100366,,,,park-and-garden,,,,1000473
,,11100367,,,,park-and-garden,,,,1000474
,,11100368,,,,park-and-garden,,,,1000475
,,11100369,,,,park-and-garden,,,,1000476
,,11100370,,,,park-and-garden,,,,1000477
,,11100371,,,,park-and-garden,,,,1000478
,,11100372,,,,park-and-garden,,,,1000479
,,11100373,,,,park-and-garden,,,,1000480
,,11100374,,,,park-and-garden,,,,1000481
