old-entity,status,entity,end-date,notes,entry-date,start-date
44012517,301,44013668,,,,
44012518,301,44013664,,,,
44012519,301,44013665,,,,
44012520,301,44013686,,,,
44012521,301,44013658,,,,
44012522,301,44013684,,,,
44012523,301,44013677,,,,
44012524,301,44013705,,,,
44012525,301,44013654,,,,
44012526,301,44013656,,,,
44012527,301,44013655,,,,
44012528,301,44013657,,,,
44012529,301,44013918,,,,
44012530,301,44013682,,,,
44012532,301,44013699,,,,
44012654,301,44009108,,,,
44012655,301,44009109,,,,
44012656,301,44009110,,,,
44012657,301,44009111,,,,
44012658,301,44009112,,,,
44012659,301,44009113,,,,
44012660,301,44009114,,,,
44012661,301,44009115,,,,
44012662,301,44009116,,,,
44012663,301,44009117,,,,
44012664,301,44009118,,,,
44012665,301,44009122,,,,
44012666,301,44009119,,,,
44012667,301,44009120,,,,
44012668,301,44009121,,,,
44012669,301,44009123,,,,
44012670,301,44009125,,,,
44012671,301,44009126,,,,
44012672,301,44009127,,,,
44012673,301,44009124,,,,
44012674,301,44009128,,,,
44012675,301,44009129,,,,
44012676,301,44009130,,,,
44012677,301,44009131,,,,
44012678,301,44009132,,,,
44012679,301,44012320,,,,
44012703,301,44008346,,,,
44012706,301,44010309,,,,
44012707,301,44010310,,,,
44006443,410,,,LPA asked to remove data - DLSD-1061,,
44006444,410,,,LPA asked to remove data - DLSD-1061,,
44006445,410,,,LPA asked to remove data - DLSD-1061,,
44006446,410,,,LPA asked to remove data - DLSD-1061,,
44006447,410,,,LPA asked to remove data - DLSD-1061,,
44006448,410,,,LPA asked to remove data - DLSD-1061,,
44006449,410,,,LPA asked to remove data - DLSD-1061,,
44006450,410,,,LPA asked to remove data - DLSD-1061,,
44006451,410,,,LPA asked to remove data - DLSD-1061,,
44006452,410,,,LPA asked to remove data - DLSD-1061,,
44006453,410,,,LPA asked to remove data - DLSD-1061,,
44006454,410,,,LPA asked to remove data - DLSD-1061,,
44006455,410,,,LPA asked to remove data - DLSD-1061,,
44006456,410,,,LPA asked to remove data - DLSD-1061,,
44006457,410,,,LPA asked to remove data - DLSD-1061,,
44006459,410,,,LPA asked to remove data - DLSD-1061,,
44006460,410,,,LPA asked to remove data - DLSD-1061,,
44006461,410,,,LPA asked to remove data - DLSD-1061,,
44006462,410,,,LPA asked to remove data - DLSD-1061,,
44006463,410,,,LPA asked to remove data - DLSD-1061,,
44006464,410,,,LPA asked to remove data - DLSD-1061,,
44006465,410,,,LPA asked to remove data - DLSD-1061,,
44006466,410,,,LPA asked to remove data - DLSD-1061,,
44007866,410,,,LPA asked to remove data - DLSD-1061,,
44010271,410,,,LPA asked to remove data - DLSD-1061,,
44002322,410,,,No data available for publication by HE,,
44004019,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005150,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005151,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005152,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005153,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005154,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005156,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005158,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005159,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005160,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005161,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44005162,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44008708,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44008709,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44008710,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44008711,410,,,Duplicate - LPA asked to remove data - DLSD-1016,,
44000663,301,44013307,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000664,301,44013308,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000665,301,44013309,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000666,301,44013310,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000667,301,44013311,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000668,301,44013312,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000669,301,44013313,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000670,301,44013314,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000671,301,44013315,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000672,301,44013316,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000673,301,44013317,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000674,301,44013318,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000675,301,44013320,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000676,301,44013321,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000678,301,44013323,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000679,301,44013324,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000680,301,44013325,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000681,301,44013326,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000682,301,44013327,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000683,301,44013328,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000684,301,44013329,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001281,301,44010596,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001282,301,44010621,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001283,301,44010617,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001284,301,44010597,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001285,301,44010594,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001287,301,44010601,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001288,301,44010619,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001289,301,44010609,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001290,301,44010600,,redirect Historic England duplicate to LPA entity,2025-03-25,
44001291,301,44010618,,redirect Historic England duplicate to LPA entity,2025-03-25,
44002040,301,44002124,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005447,301,44013319,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005448,301,44013330,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005449,301,44010602,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005450,301,44010592,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005451,301,44010605,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005452,301,44010611,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005453,301,44010614,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005454,301,44010595,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005455,301,44010604,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005456,301,44010599,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005457,301,44010610,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005458,301,44010607,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005459,301,44010590,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005460,301,44010598,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005461,301,44010593,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005463,301,44010606,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005464,301,44010615,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005465,301,44010591,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005466,301,44010616,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005467,301,44010612,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005468,301,44010608,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005564,301,44010479,,redirect Historic England duplicate to LPA entity,2025-03-25,
44005816,301,44005896,,redirect Historic England duplicate to LPA entity,2025-03-25,
44006551,301,44010603,,redirect Historic England duplicate to LPA entity,2025-03-25,
44006552,301,44010620,,redirect Historic England duplicate to LPA entity,2025-03-25,
44000677,301,44013322,,redirect Historic England duplicate to LPA entity,2025-05-13,
