prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
planning-condition,,,,local-authority:DNC,U0108156,73000215,,,
planning-condition,,,,local-authority:DNC,U0108157,73000216,,,
planning-condition,,,,local-authority:DNC,U0108158,73000217,,,
planning-condition,,,,local-authority:DNC,U0108159,73000218,,,
planning-condition,,,,local-authority:DNC,U0108160,73000219,,,
planning-condition,,,,local-authority:DNC,U0108187,73000220,,,
planning-condition,,,,local-authority:DNC,U0108188,73000221,,,
planning-condition,,,,local-authority:DNC,U0108189,73000222,,,
planning-condition,,,,local-authority:DNC,U0108240,73000223,,,
planning-condition,,,,local-authority:DNC,U0108241,73000224,,,
planning-condition,,,,local-authority:DNC,U0108256,73000225,,,
planning-condition,,,,local-authority:DNC,U0108259,73000226,,,
planning-condition,,,,local-authority:DNC,U0108269,73000227,,,
planning-condition,,,,local-authority:DNC,U0108270,73000228,,,
planning-condition,,,,local-authority:DNC,U0108321,73000229,,,
planning-condition,,,,local-authority:DNC,U0108322,73000230,,,
planning-condition,,,,local-authority:DNC,U0108323,73000231,,,
planning-condition,,,,local-authority:DNC,U0108324,73000232,,,
planning-condition,,,,local-authority:DNC,U0108349,73000233,,,
planning-condition,,,,local-authority:DNC,U0108357,73000234,,,
planning-condition,,,,local-authority:DNC,U0108358,73000235,,,
planning-condition,,,,local-authority:DNC,U0108364,73000236,,,
planning-condition,,,,local-authority:DNC,U0108365,73000237,,,
planning-condition,,,,local-authority:DNC,U0108382,73000238,,,
planning-condition,,,,local-authority:DNC,U0108383,73000239,,,
planning-condition,,,,local-authority:DNC,U0108403,73000240,,,
planning-condition,,,,local-authority:DNC,U0108404,73000241,,,
planning-condition,,,,local-authority:DNC,U0108418,73000242,,,
planning-condition,,,,local-authority:DNC,U0108419,73000243,,,
planning-condition,,,,local-authority:DNC,U0108426,73000244,,,
planning-condition,,,,local-authority:DNC,U0108427,73000245,,,
planning-condition,,,,local-authority:DNC,U0108449,73000246,,,
planning-condition,,,,local-authority:DNC,U0108450,73000247,,,
planning-condition,,,,local-authority:DNC,U0108451,73000248,,,
planning-condition,,,,local-authority:DNC,U0108452,73000249,,,
planning-condition,,,,local-authority:DNC,U0108453,73000250,,,
planning-condition,,,,local-authority:DNC,U0108454,73000251,,,
planning-condition,,,,local-authority:DNC,U0108455,73000252,,,
planning-condition,,,,local-authority:DNC,U0108456,73000253,,,
planning-condition,,,,local-authority:DNC,U0108457,73000254,,,
planning-condition,,,,local-authority:DNC,U0108458,73000255,,,
planning-condition,,,,local-authority:DNC,U0108459,73000256,,,
planning-condition,,,,local-authority:DNC,U0108460,73000257,,,
planning-condition,,,,local-authority:DNC,U0108461,73000258,,,
planning-condition,,,,local-authority:DNC,U0108462,73000259,,,
planning-condition,,,,local-authority:DNC,U0108464,73000260,,,
planning-condition,,,,local-authority:DNC,U0108465,73000261,,,
planning-condition,,,,local-authority:DNC,U0108514,73000262,,,
planning-condition,,,,local-authority:DNC,U0108523,73000263,,,
planning-condition,,,,local-authority:DNC,U0108524,73000264,,,
planning-condition,,,,local-authority:DNC,U0108525,73000265,,,
planning-condition,,,,local-authority:DNC,U0108526,73000266,,,
planning-condition,,,,local-authority:DNC,U0108531,73000267,,,
planning-condition,,,,local-authority:DNC,U0108532,73000268,,,
planning-condition,,,,local-authority:DNC,U0108533,73000269,,,
planning-condition,,,,local-authority:DNC,U0108534,73000270,,,
planning-condition,,,,local-authority:DNC,U0108542,73000271,,,
planning-condition,,,,local-authority:DNC,U0108570,73000272,,,
planning-condition,,,,local-authority:DNC,U0108571,73000273,,,
planning-condition,,,,local-authority:DNC,U0108572,73000274,,,
planning-condition,,,,local-authority:DNC,U0108573,73000275,,,
planning-condition,,,,local-authority:DNC,U0108580,73000276,,,
planning-condition,,,,local-authority:DNC,U0108582,73000277,,,
planning-condition,,,,local-authority:DNC,U0108610,73000278,,,
planning-condition,,,,local-authority:DNC,U0108617,73000279,,,
planning-condition,,,,local-authority:DNC,U0108618,73000280,,,
planning-condition,,,,local-authority:DNC,U0108619,73000281,,,
planning-condition,,,,local-authority:DNC,U0108632,73000282,,,
planning-condition,,,,local-authority:DNC,U0108678,73000283,,,
planning-condition,,,,local-authority:DNC,U0108679,73000284,,,
planning-condition,,,,local-authority:DNC,U0108680,73000285,,,
planning-condition,,,,local-authority:DNC,U0108681,73000286,,,
